id,order_id,payment_method,amount,_batched_at
1,1,credit_card,1000,5/13/2026 18:30
2,2,credit_card,2000,5/13/2026 18:30
3,3,coupon,100,5/13/2026 18:30
4,4,coupon,2500,5/13/2026 18:30
5,5,bank_transfer,1700,5/13/2026 18:30
6,6,credit_card,600,5/13/2026 18:30
7,7,credit_card,1600,5/13/2026 18:30
8,8,credit_card,2300,5/13/2026 18:30
9,9,gift_card,2300,5/13/2026 18:30
10,9,bank_transfer,0,5/13/2026 18:30
11,10,bank_transfer,2600,5/13/2026 18:30
12,11,credit_card,2700,5/13/2026 18:30
13,12,credit_card,100,5/13/2026 18:30
14,13,credit_card,500,5/13/2026 18:30
15,13,bank_transfer,1400,5/13/2026 18:30
16,14,bank_transfer,300,5/13/2026 18:30
17,15,coupon,2200,5/13/2026 18:30
18,16,credit_card,1000,5/13/2026 18:30
19,17,bank_transfer,200,5/13/2026 18:30
20,18,credit_card,500,5/13/2026 18:30
21,18,credit_card,800,5/13/2026 18:30
22,19,gift_card,600,5/13/2026 18:30
23,20,bank_transfer,1500,5/13/2026 18:30
24,21,credit_card,1200,5/13/2026 18:30
25,22,bank_transfer,800,5/13/2026 18:30
26,23,gift_card,2300,5/13/2026 18:30
27,24,coupon,2600,5/13/2026 18:30
28,25,bank_transfer,2000,5/13/2026 18:30
29,25,credit_card,2200,5/13/2026 18:30
30,25,coupon,1600,5/13/2026 18:30
31,26,credit_card,3000,5/13/2026 18:30
32,27,credit_card,2300,5/13/2026 18:30
33,28,bank_transfer,1900,5/13/2026 18:30
34,29,bank_transfer,1200,5/13/2026 18:30
35,30,credit_card,1300,5/13/2026 18:30
36,31,credit_card,1200,5/13/2026 18:30
37,32,credit_card,300,5/13/2026 18:30
38,33,credit_card,2200,5/13/2026 18:30
39,34,bank_transfer,1500,5/13/2026 18:30
40,35,credit_card,2900,5/13/2026 18:30
41,36,bank_transfer,900,5/13/2026 18:30
42,37,credit_card,2300,5/13/2026 18:30
43,38,credit_card,1500,5/13/2026 18:30
44,39,bank_transfer,800,5/13/2026 18:30
45,40,credit_card,1400,5/13/2026 18:30
46,41,credit_card,1700,5/13/2026 18:30
47,42,coupon,1700,5/13/2026 18:30
48,43,gift_card,1800,5/13/2026 18:30
49,44,gift_card,1100,5/13/2026 18:30
50,45,bank_transfer,500,5/13/2026 18:30
51,46,bank_transfer,800,5/13/2026 18:30
52,47,credit_card,2200,5/13/2026 18:30
53,48,bank_transfer,300,5/13/2026 18:30
54,49,credit_card,600,5/13/2026 18:30
55,49,credit_card,900,5/13/2026 18:30
56,50,credit_card,2600,5/13/2026 18:30
57,51,credit_card,2900,5/13/2026 18:30
58,51,credit_card,100,5/13/2026 18:30
59,52,bank_transfer,1500,5/13/2026 18:30
60,53,credit_card,300,5/13/2026 18:30
61,54,credit_card,1800,5/13/2026 18:30
62,54,bank_transfer,1100,5/13/2026 18:30
63,55,credit_card,2900,5/13/2026 18:30
64,56,credit_card,400,5/13/2026 18:30
65,57,bank_transfer,200,5/13/2026 18:30
66,58,coupon,1800,5/13/2026 18:30
67,58,gift_card,600,5/13/2026 18:30
68,59,gift_card,2800,5/13/2026 18:30
69,60,credit_card,400,5/13/2026 18:30
70,61,bank_transfer,1600,5/13/2026 18:30
71,62,gift_card,1400,5/13/2026 18:30
72,63,credit_card,2900,5/13/2026 18:30
73,64,bank_transfer,2600,5/13/2026 18:30
74,65,credit_card,0,5/13/2026 18:30
75,66,credit_card,2800,5/13/2026 18:30
76,67,bank_transfer,400,5/13/2026 18:30
77,67,credit_card,1900,5/13/2026 18:30
78,68,credit_card,1600,5/13/2026 18:30
79,69,credit_card,1900,5/13/2026 18:30
80,70,credit_card,2600,5/13/2026 18:30
81,71,credit_card,500,5/13/2026 18:30
82,72,credit_card,2900,5/13/2026 18:30
83,73,bank_transfer,300,5/13/2026 18:30
84,74,credit_card,3000,5/13/2026 18:30
85,75,credit_card,1900,5/13/2026 18:30
86,76,coupon,200,5/13/2026 18:30
87,77,credit_card,0,5/13/2026 18:30
88,77,bank_transfer,1900,5/13/2026 18:30
89,78,bank_transfer,2600,5/13/2026 18:30
90,79,credit_card,1800,5/13/2026 18:30
91,79,credit_card,900,5/13/2026 18:30
92,80,gift_card,300,5/13/2026 18:30
93,81,coupon,200,5/13/2026 18:30
94,82,credit_card,800,5/13/2026 18:30
95,83,credit_card,100,5/13/2026 18:30
96,84,bank_transfer,2500,5/13/2026 18:30
97,85,bank_transfer,1700,5/13/2026 18:30
98,86,coupon,2300,5/13/2026 18:30
99,87,gift_card,3000,5/13/2026 18:30
100,87,credit_card,2600,5/13/2026 18:30
101,88,credit_card,2900,5/13/2026 18:30
102,89,bank_transfer,2200,5/13/2026 18:30
103,90,bank_transfer,200,5/13/2026 18:30
104,91,credit_card,1900,5/13/2026 18:30
105,92,bank_transfer,1500,5/13/2026 18:30
106,92,coupon,200,5/13/2026 18:30
107,93,gift_card,2600,5/13/2026 18:30
108,94,coupon,700,5/13/2026 18:30
109,95,coupon,2400,5/13/2026 18:30
110,96,gift_card,1700,5/13/2026 18:30
111,97,bank_transfer,1400,5/13/2026 18:30
112,98,bank_transfer,1000,5/13/2026 18:30
113,99,credit_card,2400,5/13/2026 18:30
